Z_slice,Number_of_neurons,GlyT2_mean,GlyT2_median,GlyT2_total,Gephyrin_mean,Gephyrin_median,Gephyrin_total
537,107,20.374,0.0,2180,21.542,0.0,2305
538,112,20.071,0.0,2248,25.67,12.0,2875
539,114,13.491,0.0,1538,25.684,10.5,2928
540,113,22.345,0.0,2525,23.336,3.0,2637
541,104,24.962,0.0,2596,20.894,0.0,2173
542,80,19.9,0.0,1592,21.35,1.5,1708
543,96,12.302,0.0,1181,18.708,0.0,1796
544,95,13.811,0.0,1312,18.537,2.0,1761
545,108,13.491,0.0,1457,20.546,0.5,2219
546,91,10.571,0.0,962,22.418,1.0,2040
547,94,21.862,0.0,2055,20.362,0.0,1914
548,100,22.08,0.0,2208,24.57,7.5,2457
549,111,16.198,0.0,1798,23.712,8.0,2632
550,92,18.174,0.0,1672,20.739,0.0,1908
551,105,17.029,0.0,1788,19.257,0.0,2022
552,104,16.635,0.0,1730,17.24,0.0,1793
553,99,21.667,0.0,2145,18.121,0.0,1794
554,108,22.639,0.0,2445,16.352,0.0,1766
555,108,25.5,0.0,2754,16.556,0.0,1788
556,107,19.178,0.0,2052,19.822,0.0,2121
557,93,18.527,0.0,1723,23.505,9.0,2186
558,94,22.574,0.0,2122,22.66,7.0,2130
559,119,17.992,0.0,2141,19.798,3.0,2356
560,120,14.825,0.0,1779,19.325,0.0,2319
561,100,14.11,0.5,1411,20.1,0.5,2010
562,95,13.916,1.0,1322,23.937,5.0,2274
563,85,8.541,0.0,726,20.706,0.0,1760
564,91,16.857,0.0,1534,19.385,0.0,1764
565,98,10.776,0.0,1056,17.561,0.0,1721
566,97,16.938,0.0,1643,18.186,0.0,1764
567,105,22.419,0.0,2354,18.581,0.0,1951
568,101,17.01,0.0,1718,18.871,0.0,1906
569,103,20.447,0.0,2106,16.68,0.0,1718
570,111,14.378,0.0,1596,15.757,0.0,1749
571,102,13.931,0.0,1421,17.696,0.0,1805
572,109,16.046,0.0,1749,15.78,0.0,1720
573,111,14.568,0.0,1617,13.162,0.0,1461
574,108,16.981,0.0,1834,16.556,0.0,1788
575,118,14.856,0.0,1753,18.347,0.0,2165
576,120,14.117,0.0,1694,17.158,0.0,2059
577,129,14.721,0.0,1899,18.349,0.0,2367
578,141,17.277,0.0,2436,19.709,5.0,2779
579,141,16.255,0.0,2292,19.369,0.0,2731
580,149,14.416,0.0,2148,17.711,0.0,2639
581,121,12.893,0.0,1560,17.678,0.0,2139
582,118,18.678,0.0,2204,18.483,0.0,2181
583,137,18.131,0.0,2484,14.92,0.0,2044
584,132,20.962,0.0,2767,17.568,0.0,2319
585,124,22.605,0.0,2803,21.073,3.5,2613
586,141,22.092,1.0,3115,20.369,5.0,2872
587,140,22.086,2.0,3092,21.779,14.0,3049
588,123,26.561,3.0,3267,23.902,20.0,2940
589,133,18.511,1.0,2462,22.481,12.0,2990
590,139,14.309,1.0,1989,21.029,13.0,2923
591,123,14.163,0.0,1742,21.504,8.0,2645
592,125,15.096,0.0,1887,19.176,2.0,2397
593,142,15.106,0.0,2145,16.768,0.0,2381
594,141,15.447,0.0,2178,18.05,1.0,2545
595,150,15.667,0.0,2350,17.813,0.0,2672
596,131,14.779,0.0,1936,19.359,1.0,2536
597,119,17.05,0.0,2029,20.101,3.0,2392
598,121,19.826,0.0,2399,20.719,0.0,2507
599,118,18.059,0.0,2131,20.466,0.0,2415
600,149,12.43,0.0,1852,18.456,0.0,2750
601,147,11.912,0.0,1751,18.116,1.0,2663
602,136,13.853,0.0,1884,18.36,2.0,2497
603,155,16.194,0.0,2510,18.484,0.0,2865
604,136,20.971,0.0,2852,19.103,1.5,2598
605,123,23.024,0.0,2832,19.78,3.0,2433
606,137,19.964,0.0,2735,18.438,2.0,2526
607,132,22.735,1.5,3001,21.856,10.5,2885
608,142,21.852,1.5,3103,22.965,13.0,3261
609,140,20.514,1.0,2872,20.336,12.0,2847
610,131,22.672,2.0,2970,21.427,14.0,2807
611,132,25.008,0.0,3301,22.348,14.0,2950
612,150,19.913,0.0,2987,18.513,2.5,2777
613,135,26.43,2.0,3568,21.444,14.0,2895
614,141,20.248,0.0,2855,19.34,4.0,2727
615,142,20.282,0.0,2880,21.775,9.0,3092
616,139,20.475,0.0,2846,18.863,10.0,2622
617,141,19.305,0.0,2722,17.22,1.0,2428
618,130,19.262,0.0,2504,16.392,0.0,2131
619,125,22.4,0.0,2800,19.296,0.0,2412
620,130,29.5,0.5,3835,19.192,0.5,2495
621,127,28.654,2.0,3639,21.37,11.0,2714
622,139,25.662,2.0,3567,20.683,11.0,2875
623,147,25.878,4.0,3804,20.313,12.0,2986
624,158,25.804,2.0,4077,18.671,12.0,2950
625,156,25.545,2.0,3985,20.955,15.5,3269
626,154,24.195,4.5,3726,19.747,16.0,3041
627,157,27.822,4.0,4368,20.732,17.0,3255
628,140,28.264,4.5,3957,21.393,17.0,2995
629,150,27.667,6.5,4150,20.3,15.0,3045
630,154,26.019,5.0,4007,20.903,11.5,3219
631,142,29.824,8.0,4235,22.169,13.0,3148
632,147,27.415,7.0,4030,22.306,16.0,3279
633,144,31.104,5.0,4479,22.285,11.0,3209
634,135,32.615,6.0,4403,22.6,17.0,3051
635,137,29.445,4.0,4034,20.81,13.0,2851
636,149,33.517,3.0,4994,22.356,11.0,3331
637,156,26.494,0.0,4133,18.968,6.0,2959
638,150,26.48,2.5,3972,19.407,13.0,2911
639,146,25.432,3.0,3713,19.185,13.0,2801
640,142,26.12,1.5,3709,19.775,10.5,2808
641,143,28.196,3.0,4032,20.783,12.0,2972
642,157,26.121,4.0,4101,21.159,15.0,3322
643,165,29.63,5.0,4889,20.455,15.0,3375
644,141,32.121,5.0,4529,23.589,17.0,3326
645,136,36.132,5.5,4914,24.324,18.0,3308
646,124,36.984,8.0,4586,23.516,19.0,2916
647,129,30.798,4.0,3973,22.736,13.0,2933
648,141,27.383,0.0,3861,18.986,9.0,2677
649,139,28.734,0.0,3994,17.353,10.0,2412
650,127,31.74,3.0,4031,19.047,12.0,2419
651,130,35.115,2.5,4565,19.223,9.0,2499
652,112,40.411,0.0,4526,20.75,9.0,2324
653,120,35.708,0.0,4285,22.183,12.0,2662
654,123,29.293,0.0,3603,17.821,7.0,2192
655,104,36.558,0.0,3802,19.538,11.0,2032
656,117,33.615,0.0,3933,18.632,6.0,2180
657,120,30.167,0.0,3620,15.833,5.5,1900
658,114,30.193,0.0,3442,18.114,5.0,2065
659,121,25.38,0.0,3071,13.264,0.0,1605
660,119,27.37,0.0,3257,13.731,3.0,1634
661,107,27.682,0.0,2962,12.421,3.0,1329
662,107,28.327,0.0,3031,14.589,4.0,1561
663,112,30.839,0.0,3454,14.098,6.0,1579
664,97,29.876,0.0,2898,13.794,5.0,1338
665,93,28.925,0.0,2690,13.634,4.0,1268
666,87,22.322,0.0,1942,9.885,3.0,860
667,89,26.146,0.0,2327,10.966,4.0,976
668,96,27.469,0.0,2637,10.958,1.0,1052
669,101,22.683,0.0,2291,8.465,0.0,855
670,100,26.97,0.0,2697,8.16,0.0,816
671,110,24.218,0.0,2664,8.127,1.5,894
672,106,26.481,0.0,2807,8.028,2.0,851
673,99,22.949,0.0,2272,7.96,2.0,788
674,93,22.011,0.0,2047,7.645,2.0,711
675,95,28.358,0.0,2694,7.2,2.0,684
676,94,23.436,0.0,2203,5.67,0.5,533
677,106,26.113,0.0,2768,6.925,2.0,734
678,104,23.154,0.0,2408,5.942,0.0,618
679,92,33.359,0.0,3069,9.283,1.5,854
680,81,36.704,0.0,2973,9.16,2.0,742
681,82,36.707,0.0,3010,10.756,4.0,882
682,84,21.917,0.0,1841,8.952,4.0,752
683,89,19.831,0.0,1765,10.011,2.0,891
684,86,18.174,0.0,1563,7.919,0.0,681
685,79,21.949,0.0,1734,7.759,0.0,613
686,71,29.563,0.0,2099,10.451,2.0,742
687,91,23.176,0.0,2109,7.385,1.0,672
688,89,21.944,0.0,1953,8.618,3.0,767
689,82,22.134,0.0,1815,7.537,0.0,618
690,91,28.857,0.0,2626,9.297,0.0,846
691,79,25.57,0.0,2020,8.646,2.0,683
692,86,26.128,0.0,2247,9.221,3.0,793
693,82,29.659,0.0,2432,9.622,3.0,789
694,88,33.136,0.0,2916,13.045,4.5,1148
695,99,28.838,0.0,2855,9.323,2.0,923
696,87,27.839,0.0,2422,9.0,1.0,783
697,91,26.407,0.0,2403,8.725,2.0,794
698,101,25.069,0.0,2532,8.574,2.0,866
699,100,15.26,0.0,1526,8.17,2.0,817
700,98,14.163,0.0,1388,7.918,3.5,776
701,101,19.743,0.0,1994,7.228,4.0,730
702,100,21.11,0.0,2111,8.1,3.0,810
703,101,26.802,0.0,2707,9.98,3.0,1008
704,109,21.67,0.0,2362,7.569,2.0,825
705,106,25.028,0.0,2653,9.217,1.0,977
706,101,26.792,0.0,2706,7.98,1.0,806
707,96,23.01,0.0,2209,6.479,0.0,622
708,95,16.137,0.0,1533,6.474,0.0,615
709,86,16.0,0.0,1376,4.86,0.5,418
710,86,16.326,0.0,1404,4.872,0.0,419
711,83,17.482,0.0,1451,4.0,0.0,332
712,80,13.888,0.0,1111,4.275,0.0,342
713,91,16.473,0.0,1499,3.769,0.0,343
714,93,13.656,0.0,1270,4.043,0.0,376
715,100,16.02,0.0,1602,4.87,0.0,487
716,85,16.247,0.0,1381,3.506,0.0,298
717,89,11.404,0.0,1015,2.371,0.0,211
718,98,21.898,0.0,2146,5.796,0.0,568
719,84,23.5,0.0,1974,5.333,0.0,448
720,85,19.847,0.0,1687,4.494,0.0,382
721,84,15.917,0.0,1337,3.643,0.0,306
722,99,13.182,0.0,1305,2.253,0.0,223
723,65,16.923,0.0,1100,2.462,0.0,160
724,67,12.896,0.0,864,2.134,0.0,143
725,80,11.038,0.0,883,1.462,0.0,117
726,84,8.0,0.0,672,1.69,0.0,142
727,80,11.275,0.0,902,1.638,0.0,131
728,77,22.532,0.0,1735,5.403,0.0,416
729,66,15.061,0.0,994,3.409,0.0,225
730,77,14.156,0.0,1090,2.416,0.0,186
731,66,7.833,0.0,517,1.848,0.0,122
732,66,4.53,0.0,299,1.758,0.0,116
733,74,13.959,0.0,1033,2.676,0.0,198
734,69,19.507,0.0,1346,1.71,0.0,118
735,77,14.922,0.0,1149,2.39,0.0,184
736,71,12.704,0.0,902,1.93,0.0,137
737,72,13.875,0.0,999,1.389,0.0,100
738,69,19.754,0.0,1363,4.13,0.0,285
739,60,28.65,0.0,1719,4.867,0.0,292
740,68,18.441,0.0,1254,5.324,0.0,362
741,66,15.47,0.0,1021,5.045,0.0,333
742,62,10.258,0.0,636,4.29,0.0,266
743,67,10.612,0.0,711,2.776,0.0,186
744,65,10.954,0.0,712,2.892,0.0,188
745,81,9.148,0.0,741,3.21,0.0,260
746,71,12.225,0.0,868,3.803,0.0,270
747,64,11.891,0.0,761,3.531,0.0,226
748,46,14.891,0.0,685,5.283,0.0,243
749,51,13.529,0.0,690,3.667,0.0,187
750,57,25.211,0.0,1437,8.368,0.0,477
751,53,13.698,0.0,726,6.283,0.0,333
752,46,11.457,0.0,527,4.022,0.0,185
753,50,13.36,0.0,668,7.0,0.0,350
754,52,9.365,0.0,487,4.654,0.0,242
755,58,8.776,0.0,509,7.155,0.0,415
756,57,3.07,0.0,175,3.211,0.0,183
757,49,16.551,0.0,811,5.449,0.0,267
758,59,13.136,0.0,775,3.068,0.0,181
759,49,7.143,0.0,350,3.061,0.0,150
760,56,8.804,0.0,493,2.571,0.0,144
761,49,12.898,0.0,632,3.408,0.0,167
762,49,9.898,0.0,485,2.939,0.0,144
763,49,6.082,0.0,298,3.02,0.0,148
764,59,3.61,0.0,213,1.102,0.0,65
765,56,10.732,0.0,601,3.786,0.0,212
766,54,10.13,0.0,547,3.963,0.0,214
767,54,10.333,0.0,558,4.593,0.0,248
768,68,16.441,0.0,1118,4.676,0.0,318
769,59,6.661,0.0,393,3.356,0.0,198
770,50,15.06,0.0,753,6.62,0.0,331
771,54,26.074,0.0,1408,8.593,0.0,464
772,57,15.544,0.0,886,5.14,0.0,293
773,66,27.03,0.0,1784,8.788,0.0,580
774,69,13.348,0.0,921,4.696,0.0,324
775,67,23.94,0.0,1604,8.821,0.0,591
776,63,28.587,0.0,1801,6.381,0.0,402
777,63,18.286,0.0,1152,7.048,0.0,444
778,51,11.824,0.0,603,2.765,0.0,141
779,43,21.488,0.0,924,7.744,0.0,333
780,50,20.6,0.0,1030,9.64,0.0,482
781,53,19.075,0.0,1011,4.679,0.0,248
782,61,22.77,0.0,1389,9.393,0.0,573
783,66,20.985,0.0,1385,6.894,0.0,455
784,71,17.732,0.0,1259,4.155,0.0,295
785,67,18.657,0.0,1250,6.448,0.0,432
786,52,10.731,0.0,558,4.615,0.0,240
787,56,11.964,0.0,670,4.696,0.0,263
788,60,11.95,0.0,717,6.567,0.0,394
789,53,6.377,0.0,338,1.566,0.0,83
790,43,9.023,0.0,388,8.651,0.0,372
791,45,10.467,0.0,471,6.222,0.0,280
792,48,0.792,0.0,38,3.271,0.0,157
793,55,5.473,0.0,301,1.527,0.0,84
794,54,7.296,0.0,394,4.648,0.0,251
795,57,5.175,0.0,295,2.211,0.0,126
796,52,0.692,0.0,36,1.154,0.0,60
797,54,2.111,0.0,114,1.037,0.0,56
798,58,6.897,0.0,400,2.621,0.0,152
799,51,12.431,0.0,634,7.137,0.0,364
800,58,3.172,0.0,184,1.086,0.0,63
801,62,6.355,0.0,394,1.839,0.0,114
802,66,9.682,0.0,639,3.879,0.0,256
803,63,10.032,0.0,632,3.286,0.0,207
804,58,9.69,0.0,562,4.552,0.0,264
805,59,18.898,0.0,1115,5.814,0.0,343
806,50,11.54,0.0,577,7.7,0.0,385
807,50,4.76,0.0,238,6.98,0.0,349
808,47,5.426,0.0,255,1.532,0.0,72
809,47,3.915,0.0,184,3.447,0.0,162
810,47,2.915,0.0,137,3.0,0.0,141
811,46,6.696,0.0,308,3.891,0.0,179
812,50,2.18,0.0,109,0.0,0.0,0
813,58,1.81,0.0,105,0.379,0.0,22
814,50,1.96,0.0,98,4.38,0.0,219
815,46,0.0,0.0,0,2.87,0.0,132
816,56,4.357,0.0,244,6.375,0.0,357
817,50,4.22,0.0,211,10.76,0.0,538
818,43,4.744,0.0,204,6.907,0.0,297
819,47,4.894,0.0,230,6.447,0.0,303
820,44,2.409,0.0,106,3.477,0.0,153
821,37,5.541,0.0,205,5.595,0.0,207
822,45,2.733,0.0,123,3.022,0.0,136
823,42,1.452,0.0,61,3.69,0.0,155
824,56,2.268,0.0,127,4.161,0.0,233
825,52,1.365,0.0,71,4.077,0.0,212
826,40,2.55,0.0,102,4.025,0.0,161
827,43,3.395,0.0,146,4.372,0.0,188
828,43,3.349,0.0,144,0.0,0.0,0
829,36,3.583,0.0,129,0.0,0.0,0
830,37,7.108,0.0,263,2.541,0.0,94
831,31,8.677,0.0,269,3.194,0.0,99
832,36,7.5,0.0,270,0.0,0.0,0
833,38,8.658,0.0,329,0.895,0.0,34
834,43,6.884,0.0,296,5.465,0.0,235
835,27,5.333,0.0,144,3.333,0.0,90
836,39,6.923,0.0,270,9.333,0.0,364
837,37,5.811,0.0,215,12.081,0.0,447
838,46,4.783,0.0,220,8.022,0.0,369
839,47,2.553,0.0,120,4.809,0.0,226
840,47,2.596,0.0,122,3.596,0.0,169
841,57,1.807,0.0,103,1.825,0.0,104
842,41,2.366,0.0,97,2.561,0.0,105
843,47,0.532,0.0,25,5.064,0.0,238
844,42,0.595,0.0,25,2.286,0.0,96
845,42,0.5,0.0,21,4.071,0.0,171
846,37,0.784,0.0,29,2.73,0.0,101
847,37,1.351,0.0,50,0.0,0.0,0
848,31,1.839,0.0,57,4.032,0.0,125
849,43,1.093,0.0,47,1.279,0.0,55
850,32,1.406,0.0,45,0.0,0.0,0
851,37,1.324,0.0,49,0.0,0.0,0
852,34,1.235,0.0,42,0.0,0.0,0
853,38,1.526,0.0,58,2.658,0.0,101
854,36,0.0,0.0,0,2.222,0.0,80
855,44,0.455,0.0,20,1.364,0.0,60
856,43,1.07,0.0,46,0.0,0.0,0
857,31,0.0,0.0,0,1.419,0.0,44
858,25,0.0,0.0,0,0.0,0.0,0
859,25,1.6,0.0,40,2.0,0.0,50
860,25,0.0,0.0,0,0.0,0.0,0
861,32,1.562,0.0,50,33.156,0.0,1061
862,29,2.241,0.0,65,51.241,0.0,1486
863,27,4.667,0.0,126,113.407,0.0,3062
864,23,6.174,0.0,142,155.174,0.0,3569
865,17,8.235,0.0,140,198.824,0.0,3380
866,24,6.625,0.0,159,160.875,0.0,3861
867,18,7.0,0.0,126,155.389,0.0,2797
868,21,3.143,0.0,66,100.19,0.0,2104
869,20,3.6,0.0,72,106.0,0.0,2120
870,21,3.571,0.0,75,98.429,0.0,2067
871,7,13.429,0.0,94,307.714,0.0,2154
872,8,0.0,0.0,0,0.0,0.0,0
873,13,0.0,0.0,0,0.0,0.0,0
874,10,0.0,0.0,0,0.0,0.0,0
875,11,0.0,0.0,0,0.0,0.0,0
876,9,0.0,0.0,0,0.0,0.0,0
877,6,0.0,0.0,0,0.0,0.0,0
878,7,0.0,0.0,0,0.0,0.0,0
879,11,0.0,0.0,0,0.0,0.0,0
880,4,0.0,0.0,0,0.0,0.0,0
881,5,0.0,0.0,0,0.0,0.0,0
882,8,9.375,0.0,75,79.875,0.0,639
883,15,5.867,0.0,88,44.933,0.0,674
884,8,11.5,0.0,92,82.875,0.0,663
885,6,15.5,0.0,93,103.833,0.0,623
886,8,13.0,0.0,104,78.875,0.0,631
887,8,13.375,0.0,107,83.0,0.0,664
888,5,21.6,22.0,108,125.2,0.0,626
889,9,10.111,0.0,91,74.333,0.0,669
890,9,13.222,0.0,119,73.667,0.0,663
891,13,7.615,0.0,99,24.462,0.0,318
892,11,10.909,0.0,120,28.182,0.0,310
893,7,10.429,0.0,73,47.0,0.0,329
894,5,19.8,0.0,99,72.2,0.0,361
895,6,19.167,0.0,115,60.833,0.0,365
896,7,13.286,0.0,93,47.714,0.0,334
897,62,0.0,0.0,0,0.0,0.0,0
898,80,1.588,0.0,127,3.938,0.0,315
899,190,0.532,0.0,101,12.447,0.0,2365
900,227,0.339,0.0,77,0.0,0.0,0
901,4,0.0,0.0,0,0.0,0.0,0
902,145,0.0,0.0,0,0.0,0.0,0
904,4,14.25,0.0,57,0.0,0.0,0
905,2,0.0,0.0,0,0.0,0.0,0
907,141,1.227,0.0,173,17.504,0.0,2468
908,193,0.0,0.0,0,0.0,0.0,0
909,4,19.75,21.5,79,0.0,0.0,0
911,60,0.0,0.0,0,0.0,0.0,0
912,25,0.92,0.0,23,0.0,0.0,0
913,2,0.0,0.0,0,0.0,0.0,0
914,30,5.3,1.0,159,122.3,12.5,3669
916,23,0.0,0.0,0,0.0,0.0,0
918,81,0.519,0.0,42,10.086,0.0,817
919,84,0.0,0.0,0,0.0,0.0,0
920,65,0.0,0.0,0,0.0,0.0,0
921,58,2.345,0.0,136,0.0,0.0,0
